"kbe"	"kbj"	"kbo"	"kbt"	"kby"	"kcd"	"kci"	"kcn"	"kcs"	"kcx"	"average"	"median"
"X10001"	10.5555555555556	2.22222222222222	8.22222222222222	5.77777777777778	4.77777777777778	2.11111111111111	5.88888888888889	7.11111111111111	6.55555555555556	8.22222222222222	6	6
"X10002"	13	3.77777777777778	11.1111111111111	7.11111111111111	11.8888888888889	8.11111111111111	9.33333333333333	6.66666666666667	8.88888888888889	10.4444444444444	9	9
"X10003"	14.3333333333333	4.33333333333333	11.2222222222222	6.22222222222222	12.7777777777778	9.11111111111111	9.44444444444444	6.22222222222222	7.66666666666667	11.8888888888889	9	9
"X10004"	13.5555555555556	3.55555555555556	10.1111111111111	5	10.8888888888889	8.33333333333333	6.33333333333333	7.88888888888889	7.88888888888889	9.88888888888889	8	8
"X10005"	12.1111111111111	2.66666666666667	8.55555555555556	4.11111111111111	8.11111111111111	3.11111111111111	3.77777777777778	7.22222222222222	6.55555555555556	7	6	7
"X10006"	12.2222222222222	4.22222222222222	8.33333333333333	4.66666666666667	10.6666666666667	7.88888888888889	5.66666666666667	6.66666666666667	5.33333333333333	8.88888888888889	7	7
"X10007"	8.55555555555556	4.22222222222222	5.77777777777778	1.88888888888889	6	5.88888888888889	4.44444444444444	6.33333333333333	3.33333333333333	6.55555555555556	5	6
"X10008"	19	6.66666666666667	14.7777777777778	4.44444444444444	13.8888888888889	13.2222222222222	15.7777777777778	8.11111111111111	8.55555555555556	12.4444444444444	12	13
"X10009"	19.5555555555556	5.22222222222222	5.77777777777778	3	6.55555555555556	6.77777777777778	6.88888888888889	9	4.55555555555556	7.77777777777778	8	7
"X10101"	12.5555555555556	5.22222222222222	14.7777777777778	11.2222222222222	12	13	16.8888888888889	11.7777777777778	8.77777777777778	12.7777777777778	12	12
"X10201"	22.8888888888889	15.5555555555556	12.5555555555556	4.55555555555556	14.6666666666667	14.2222222222222	14.7777777777778	21.7777777777778	10.7777777777778	19	15	15
"X10301"	7	1.55555555555556	7.11111111111111	6.33333333333333	2.33333333333333	1	8.55555555555556	7.88888888888889	8.11111111111111	9.33333333333333	6	7
"X10302"	2.77777777777778	3.11111111111111	2.22222222222222	2.66666666666667	2.88888888888889	1	3.66666666666667	3.55555555555556	0.888888888888889	7.66666666666667	3	3
"X10303"	3.44444444444444	2.77777777777778	2.22222222222222	4.11111111111111	3	1	3.66666666666667	4.22222222222222	4	8.33333333333333	4	4
"X10304"	4.66666666666667	4.11111111111111	1.22222222222222	5.66666666666667	4.33333333333333	1.33333333333333	0.444444444444444	3.33333333333333	2.44444444444444	4.33333333333333	3	4
"X10311"	10	4.22222222222222	9.22222222222222	8	9.33333333333333	8	11.7777777777778	8.66666666666667	9	12.4444444444444	9	9
"X10312"	2.44444444444444	0.888888888888889	4.11111111111111	1.66666666666667	2.66666666666667	0.111111111111111	5	4.88888888888889	2.77777777777778	2.66666666666667	3	3
"X10313"	1.11111111111111	1	3.11111111111111	0.111111111111111	1.77777777777778	0	3.11111111111111	2.66666666666667	0.666666666666667	1.44444444444444	2	1
"X10314"	0	1.66666666666667	0.888888888888889	0.333333333333333	2.55555555555556	0	1.66666666666667	1.66666666666667	0.888888888888889	2.11111111111111	1	1
"X10319"	11.8888888888889	42.2222222222222	23	12.6666666666667	49	34.6666666666667	29.5555555555556	19	13.7777777777778	28.3333333333333	26	26
"X10321"	2.66666666666667	5.22222222222222	0.666666666666667	5.11111111111111	3.22222222222222	1.33333333333333	1	3.77777777777778	2.44444444444444	4.66666666666667	3	3
"X10401"	18.6666666666667	7.66666666666667	18	15.5555555555556	15.6666666666667	16.4444444444444	20.7777777777778	14	11.2222222222222	19.2222222222222	16	16
"X10402"	13.7777777777778	6.77777777777778	14.4444444444444	12.4444444444444	12.6666666666667	14.3333333333333	17.4444444444444	11.4444444444444	9	15.3333333333333	13	13
"X10501"	23.5555555555556	11	19.3333333333333	16.3333333333333	21.4444444444444	18.4444444444444	16.2222222222222	12.6666666666667	14	19.6666666666667	17	17
"X10502"	20.4444444444444	6.88888888888889	15.2222222222222	13.5555555555556	16.7777777777778	11.6666666666667	10.7777777777778	15.3333333333333	10.7777777777778	16.7777777777778	14	14
"X10511"	27.6666666666667	15.8888888888889	20.2222222222222	18	24.2222222222222	28.5555555555556	17.2222222222222	18.7777777777778	16	25.7777777777778	21	20
"X10521"	24.2222222222222	17.1111111111111	21.2222222222222	15.3333333333333	23.2222222222222	21.8888888888889	20.3333333333333	29.6666666666667	16.2222222222222	21.6666666666667	21	21
"X10601"	29.5555555555556	14.3333333333333	7.88888888888889	14.3333333333333	22.6666666666667	28.6666666666667	12	12.7777777777778	3.22222222222222	20.6666666666667	17	14
"X10701"	24.2222222222222	15.3333333333333	19	13.4444444444444	22.2222222222222	18.6666666666667	18.1111111111111	13.3333333333333	12	23	18	18
"X10702"	30.1111111111111	5.55555555555556	12.5555555555556	9.22222222222222	11.2222222222222	11.7777777777778	11.8888888888889	9.77777777777778	7.88888888888889	15.5555555555556	13	12
"X10703"	34.1111111111111	10.7777777777778	16.5555555555556	17.7777777777778	18.5555555555556	17.7777777777778	14.8888888888889	14.2222222222222	13.1111111111111	23.2222222222222	18	17
