"kbe"	"kbj"	"kbo"	"kbt"	"kby"	"kcd"	"kci"	"kcn"	"kcs"	"kcx"	"average"	"median"
"X10001"	15	1.11111111111111	10.6666666666667	6.22222222222222	12.8888888888889	9.11111111111111	45.6666666666667	11.6666666666667	6.44444444444444	35.3333333333333	15	11
"X10002"	18.6666666666667	2.55555555555556	13.4444444444444	38.1111111111111	20.5555555555556	16.3333333333333	55.4444444444444	20.5555555555556	11	37.2222222222222	23	20
"X10003"	18.6666666666667	6.66666666666667	14.2222222222222	30.1111111111111	30.8888888888889	17.2222222222222	51.6666666666667	30.4444444444444	10.6666666666667	30.6666666666667	24	24
"X10004"	19.4444444444444	3.66666666666667	14.5555555555556	24.2222222222222	19.8888888888889	17.3333333333333	68.3333333333333	28	9.11111111111111	32.3333333333333	24	20
"X10005"	19.1111111111111	2.11111111111111	12.7777777777778	29.4444444444444	19.1111111111111	13	69	33.3333333333333	6.88888888888889	32.4444444444444	24	19
"X10006"	21	13.1111111111111	18.8888888888889	9.22222222222222	19.5555555555556	18.8888888888889	21	25.2222222222222	19.1111111111111	17.7777777777778	18	19
"X10007"	17.7777777777778	9.66666666666667	13.7777777777778	10	14.7777777777778	12.1111111111111	15.1111111111111	21	13	19.8888888888889	15	14
"X10008"	22	12.8888888888889	13.2222222222222	13.8888888888889	22	29.3333333333333	24.6666666666667	31.1111111111111	18.8888888888889	18.8888888888889	21	20
"X10009"	17.7777777777778	9.88888888888889	16.3333333333333	12	12	16.1111111111111	15.6666666666667	22.6666666666667	14	14	15	15
"X10101"	28.8888888888889	26.5555555555556	41.8888888888889	29.5555555555556	33.7777777777778	46.2222222222222	24.6666666666667	42.6666666666667	37.2222222222222	23	33	32
"X10201"	24.8888888888889	25.5555555555556	22.1111111111111	18.1111111111111	27	37	20.8888888888889	32.1111111111111	26.8888888888889	28.1111111111111	26	26
"X10301"	16.3333333333333	1	7.33333333333333	18.3333333333333	15.4444444444444	10.7777777777778	58.8888888888889	12.8888888888889	8.44444444444444	39	19	14
"X10302"	18.2222222222222	0.444444444444444	1.88888888888889	4.88888888888889	46.2222222222222	5.33333333333333	55	13.8888888888889	0	44.5555555555556	19	10
"X10303"	7	1.88888888888889	1.44444444444444	0	1.66666666666667	8.33333333333333	10.1111111111111	16.6666666666667	1.66666666666667	11.5555555555556	6	4
"X10304"	14.8888888888889	1.88888888888889	5.88888888888889	5.33333333333333	103.888888888889	8.44444444444444	54	26.3333333333333	0.333333333333333	51.3333333333333	27	12
"X10311"	16.2222222222222	7.22222222222222	16.8888888888889	9.55555555555556	34	21.8888888888889	19.7777777777778	20.2222222222222	20.2222222222222	15.1111111111111	18	18
