"kbe"	"kbj"	"kbo"	"kbt"	"kby"	"kcd"	"kci"	"kcn"	"kcs"	"kcx"	"average"	"median"
"X10001"	8.88888888888889	2.11111111111111	7.11111111111111	5.33333333333333	3.66666666666667	1.11111111111111	4.55555555555556	5.55555555555556	5.88888888888889	7.11111111111111	5	5
"X10002"	11	3.55555555555556	9.55555555555556	6.22222222222222	10.4444444444444	7.22222222222222	7.66666666666667	5.44444444444444	7.66666666666667	9.33333333333333	8	8
"X10003"	12.5555555555556	3.88888888888889	9.44444444444444	6	11.3333333333333	8.22222222222222	8.11111111111111	5.22222222222222	6.77777777777778	10.1111111111111	8	8
"X10004"	12.4444444444444	2.77777777777778	9.11111111111111	4.55555555555556	9.44444444444444	7.22222222222222	5.22222222222222	6.22222222222222	5.55555555555556	9.22222222222222	7	7
"X10005"	10.7777777777778	2.22222222222222	6.88888888888889	4	6.22222222222222	2.11111111111111	2.44444444444444	5.77777777777778	5	6.22222222222222	5	5
"X10006"	10.2222222222222	3.66666666666667	7.22222222222222	4.11111111111111	8.33333333333333	6.33333333333333	4.55555555555556	5.44444444444444	4.11111111111111	7.22222222222222	6	6
"X10007"	7	3.22222222222222	4.88888888888889	1.55555555555556	4.77777777777778	5.11111111111111	3.66666666666667	5.44444444444444	3	5.22222222222222	4	5
"X10008"	14.3333333333333	5.55555555555556	12	3.11111111111111	11.5555555555556	10.6666666666667	11.4444444444444	6.55555555555556	6.88888888888889	10.1111111111111	9	10
"X10009"	14.2222222222222	4.66666666666667	4.44444444444444	2.88888888888889	5.44444444444444	5.22222222222222	5.55555555555556	7	3.11111111111111	6.22222222222222	6	5
"X10101"	12.1111111111111	5.22222222222222	13.3333333333333	10.3333333333333	11.4444444444444	12.3333333333333	14.7777777777778	11.2222222222222	8.22222222222222	12.2222222222222	11	12
"X10201"	21.6666666666667	11.5555555555556	11	4.22222222222222	13.3333333333333	12.6666666666667	13.2222222222222	17.3333333333333	10.1111111111111	16.5555555555556	13	13
