"level"	"0.1"	"0.2"	"0.3"	"0.4"	"0.5"	"0.6"	"0.7"	"0.8"	"0.9"
"X10001"	"X10001"	0.194362697011314	0.135242953371264	0.103677544525102	0.0830771913761908	0.067926667102653	0.0549996730102675	0.0429228522224402	0.0314346129531533	0.0199899723148693
"X10002"	"X10002"	0.210119481437311	0.148634024603017	0.118333002053932	0.0977274233088187	0.0797720797720798	0.065615406700678	0.0543960776518916	0.0413215839572429	0.0271649108858411
"X10003"	"X10003"	0.214346104213946	0.149223512659636	0.116673341342945	0.0944021714946825	0.0767142793574512	0.0628754505406488	0.0499933253237218	0.0387131224135629	0.0246295554665599
"X10004"	"X10004"	0.246322877901825	0.158980152401205	0.114278752436647	0.0878522062732589	0.0689349636718058	0.0531410597200071	0.040692007797271	0.0279549884813043	0.0164362927520822
"X10005"	"X10005"	0.24947713713317	0.158399929551108	0.111991722255245	0.0841423948220065	0.0646148427008344	0.0490720560068688	0.0357528124518416	0.0252735398366466	0.0142659005349713
"X10006"	"X10006"	0.220786846741045	0.148583110415171	0.113307670559579	0.0893412496465932	0.0704856353711316	0.0566103390530871	0.0439964333094104	0.0325786738000478	0.0202909897566386
"X10007"	"X10007"	0.233075435203095	0.160606060606061	0.119342359767892	0.0916398022781001	0.0717171717171717	0.0547818611648399	0.0400171932086826	0.0278315065549108	0.0166344294003868
"X10008"	"X10008"	0.287044534412955	0.191160593792173	0.145524066576698	0.114574898785425	0.0908906882591093	0.0728070175438597	0.0556230319388214	0.041025641025641	0.0273954116059379
"X10009"	"X10009"	0.150524512952259	0.106658103189895	0.0839434810533076	0.0690430314707771	0.0576107899807322	0.0480196959965746	0.0389638193106401	0.0296938557054164	0.0197174052665382
"X10101"	"X10101"	0.147014958108523	0.111154976532	0.0917006623678554	0.0787384304952406	0.0676404790103961	0.0579023555731017	0.0498969162609115	0.0418914769487213	0.0333596525858666
"X10201"	"X10201"	0.111089126324583	0.0927098447874071	0.0810359231411863	0.0718242975860704	0.0654047399199754	0.0597986193554061	0.0550718902519457	0.0501472980697357	0.0431561359539199
"X10301"	"X10301"	0.226021265911225	0.134014541167223	0.0927709001986856	0.0680771162201699	0.0520294316717976	0.0408506364489858	0.0303050151743412	0.02056723652322	0.0114626318202659
"X10302"	"X10302"	0.165044838771227	0.0943628230405563	0.0634738917509381	0.0453263796137294	0.0323305560855647	0.0238928109563484	0.0164938836947996	0.0100277724776866	0.0044520765757171
"X10303"	"X10303"	0.136760303204026	0.0757373081087967	0.0497059260674778	0.0347155869800624	0.024290294498588	0.0159670467333376	0.0097458436843111	0.00600887529991295	0.00320614901161433
"X10304"	"X10304"	0.136085527032029	0.0721797635377882	0.0460731160319638	0.0319855422736081	0.0226228580138045	0.0146319158664838	0.0100812158425327	0.00685871056241427	0.00424586844339931
"X10311"	"X10311"	0.272518080210388	0.155424063116371	0.102892833662064	0.0747753670830594	0.0570238877931186	0.044181459566075	0.0335305719921105	0.0233837387683542	0.0133903133903134
"X10312"	"X10312"	0.264538052189524	0.164818020559509	0.117351627449723	0.0896753649206044	0.0684747066743605	0.0534504498728388	0.0401786668376397	0.0290654185633989	0.0175888525571157
"X10313"	"X10313"	0.259081196581197	0.173782051282051	0.129252136752137	0.103354700854701	0.0831623931623932	0.0663034188034188	0.0517094017094017	0.0395299145299145	0.0260470085470085
"X10314"	"X10314"	0.174867477393202	0.101694210581021	0.065793576551294	0.0464192911339778	0.032657727886914	0.0232616152167134	0.0159650763953851	0.00974950628832762	0.00498908637355784
"X10319"	"X10319"	0.610778295490965	0.407169094988043	0.281093607474792	0.195276483494811	0.133841185316668	0.0886522200034514	0.0548282917930133	0.0331336439612455	0.0137810319749525
"X10321"	"X10321"	0.129501473792131	0.0753129138365586	0.0527574864368405	0.0372079114870349	0.0277243795121534	0.0194796872997565	0.0137767525310778	0.00937673544363279	0.00546798239993165
"X10401"	"X10401"	0.154705052985855	0.125119388729704	0.107222449629326	0.0953517987901942	0.085686996861782	0.0777732296356938	0.0701323509346432	0.0618092509209988	0.0520762268613271
"X10402"	"X10402"	0.16159155501421	0.1163215590743	0.0936301709748726	0.0772544773762801	0.0664275725177065	0.0568863626110886	0.0472549284973158	0.0395182027337935	0.0309694591058781
"X10501"	"X10501"	0.147199074074074	0.120138888888889	0.104837962962963	0.0939814814814815	0.0856018518518518	0.0784722222222222	0.0702314814814815	0.0616203703703704	0.0511342592592593
"X10502"	"X10502"	0.12894513637784	0.101446364001607	0.0891701263336458	0.0812463729297799	0.0737690281683853	0.0666488103209678	0.0603990893263694	0.0547743404312308	0.046895227891612
"X10511"	"X10511"	0.22135996742593	0.153313693085196	0.123853320878542	0.10428492730713	0.0877583770448612	0.0734353668175613	0.0607171085722498	0.0489808627338267	0.0350650283825537
"X10521"	"X10521"	0.140690817186184	0.113334269399981	0.0978657680426846	0.0861415332771693	0.0775765234484695	0.070907048581859	0.0642375737152485	0.0574744921838435	0.0487222690255546
"X10601"	"X10601"	0.539477331720471	0.361331619666843	0.254025856203221	0.184042740858345	0.130541064993322	0.0891862604269046	0.0573322244903102	0.0333912955822686	0.0123988810765858
"X10701"	"X10701"	0.168713269762868	0.134572728727905	0.114266767281791	0.0992430998605108	0.0874665569047129	0.0782053920559786	0.0691271637968489	0.060277606274725	0.049644417003956
"X10703"	"X10703"	0.146696153330653	0.116606353035786	0.100165304025376	0.0887057141580664	0.0788768261627128	0.0721529732386186	0.0652727516418711	0.0579010856453559	0.0493454854130367
